10:16:07.937 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.1 with PID 12084 (/Users/calmchaos/Documents/java_ankit/springboot projects/journalApp/target/classes started by calmchaos in /Users/calmchaos/Documents/java_ankit/springboot projects/journalApp)
10:16:07.939 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev"
10:16:08.207 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
10:16:08.234 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 2 MongoDB repository interfaces.
10:16:08.554 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:16:08.561 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:16:08.562 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:16:08.562 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.50]
10:16:08.585 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
10:16:08.585 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 584 ms
10:16:08.728 [cluster-ClusterId{value='69671f90aeee70c92acc45d0', description='Cluster0'}-srv-cluster0.iab45bz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gdl22cd-shard-00-00.iab45bz.mongodb.net:27017 to client view of cluster
